Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
American Drive Acquisition Co.,ADACU,Cantor,20.0,10.00,10.00,$ 200.0 mil,12/18/2025 Priced,S/O,S/O
Launchpad Cadenza Acquisition Corp. I,LPCVU,Cantor,20.0,10.00,10.00,$ 200.0 mil,12/18/2025 Priced,S/O,S/O
Vine Hill Capital Investment Corp. II,VHCPU,Stifel,20.0,10.00,10.00,$ 200.0 mil,12/18/2025 Priced,S/O,S/O
Newbridge Acquisition Ltd.,NBRGU,Kingswood Capital Markets,5.0,10.00,10.00,$ 50.0 mil,12/19/2025 Friday,S/O,S/O
DT House Ltd.,DTDT,American Trust Investment Services,2.0,4.00,5.00,$ 9.0 mil,12/22/2025 Week of,S/O,S/O
ELC Group Holdings Ltd.,ELCG,D. Boral Capital (ex-EF Hutton),1.9,4.00,6.00,$ 9.4 mil,12/22/2025 Week of,S/O,S/O
"HW Electro Co., Ltd. (NASDAQ-New Filing)",HWEP,American Trust Investment Services/WestPark Capital,4.2,4.00,4.00,$ 16.6 mil,12/22/2025 Week of,S/O,S/O
Ultratrex,UTX,Craft Capital Management,1.3,4.00,6.00,$ 6.3 mil,12/22/2025 Week of,S/O,S/O
Hillhouse Frontier Holdings,HIFI,Cathay Securities,1.3,4.00,6.00,$ 6.3 mil,12/29/2025 Week of,S/O,S/O
Monkey Tree Investment Ltd.,MKTR,Craft Capital Management/Revere Securities,1.6,4.00,5.00,$ 7.0 mil,12/29/2025 Week of,S/O,S/O
"Seahawk Recycling Holdings, Inc.",SEAH,Cathay Securities,2.0,4.00,6.00,$ 10.0 mil,12/29/2025 Week of,S/O,S/O
AIGO Holding Ltd.,AIGO,Eddid Securities USA,2.0,4.00,6.00,$ 10.0 mil,1/5/2026 Week of,S/O,S/O
PressLogic,PLAI,American Trust Investment Services,1.8,4.00,6.00,$ 9.0 mil,1/5/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,2.3,4.00,6.00,$ 11.3 mil,1/5/2026 Week of,S/O,S/O
