Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
M Evo Global Acquisition II,MEVOU,Cohen & Company Capital Markets,27.0,10.00,10.00,$ 270.0 mil,1/30/2026 Priced,S/O,S/O
Muzero Acquisition,MUZEU,BTIG,17.5,10.00,10.00,$ 175.0 mil,1/30/2026 Priced,S/O,S/O
Newbridge Acquisition Ltd.,NBRGU,Kingswood Capital Markets,5.0,10.00,10.00,$ 50.0 mil,1/30/2026 Priced,S/O,S/O
VenHub Global Inc. (Direct Listing),VNHB,Revere Securities (Financial Advisor),15.6,24.00,24.00,$ 372.0 mil,1/30/2026 Friday,S/O,S/O
White Pearl Acquisition,WPACU,D. Boral Capital (ex-EF Hutton),10.0,10.00,10.00,$ 100.0 mil,2/2/2026 Priced,S/O,S/O
Jaguar Uranium Corp.,JAGU,Titan Partners Group,6.0,4.00,6.00,$ 30.0 mil,2/3/2026 Tuesday,S/O,S/O
"Veradermics, Inc.",MANE,Jefferies/Leerink Partners/Citigroup/Cantor,13.4,14.00,16.00,$ 200.3 mil,2/4/2026 Wednesday,S/O,S/O
"Bob’s Discount Furniture, Inc.",BOBS,J.P. Morgan/Morgan Stanley/RBC Capital Markets/UBS Investment Bank/BofA Securities/Evercore ISI/Goldman Sachs,19.5,17.00,19.00,$ 350.1 mil,2/5/2026 Thursday,S/O,S/O
Eikon Therapeutics,EIKN,J.P.Morgan/Morgan Stanley/BofA Securities/Cantor,17.7,16.00,18.00,$ 300.0 mil,2/5/2026 Thursday,S/O,S/O
"Forgent Power Solutions, Inc.",FPS,Goldman Sachs/Jefferies/Morgan Stanley/J.P. Morgan/BofA Securities/Barclays/TD Cowen/MUFG/Wolfe/Nomura Alliance/KeyBanc Capital Markets/Oppenheimer & Co.,56.0,25.00,29.00,$ 1512.0 mil,2/5/2026 Thursday,S/O,S/O
AgomAb Therapeutics,AGMB,J.P. Morgan/Morgan Stanley/Leerink Partners/Van Lanschot Kempen,12.5,15.00,17.00,$ 200.0 mil,2/6/2026 Friday,S/O,S/O
AIGO Holding Ltd.,AIGO,Eddid Securities USA,2.0,4.00,6.00,$ 10.0 mil,2/6/2026 Week of,S/O,S/O
"Hartford Creative Group, Inc. (Uplisting)",HFUS,WestPark Capital,1.5,4.00,4.00,$ 6.0 mil,2/6/2026 Week of,S/O,S/O
Liftoff Mobile,LFTO,Goldman Sachs/Jefferies/Morgan Stanley/Barclays/RBC Capital Markets/UBS Investment Bank/Wells Fargo Securities/William Blair/Cantor/Deutsche Bank Securities/PJT Partners/Wolfe | Nomura Alliance/BTIG/Needham & Company/Raymond James,25.4,26.00,30.00,$ 711.2 mil,2/6/2026 Friday,S/O,S/O
"Once Upon a Farm, PBC",OFRM,Goldman Sachs/J.P. Morgan/BofA Securities/William Blair/Barclays/Evercore ISI/Deutsche Bank Securities/Oppenheimer & Co./TD Cowen,11.0,17.00,19.00,$ 198.0 mil,2/6/2026 Friday,S/O,S/O
Amatuhi Holdings,AMTU,Spartan Capital,1.0,5.00,5.00,$ 5.0 mil,2/9/2026 Week of,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,7.00,9.00,$ 21.0 mil,2/9/2026 Week of,S/O,S/O
DT House Ltd.,DTDT,American Trust Investment Services,5.0,5.00,5.50,$ 26.3 mil,2/9/2026 Week of,S/O,S/O
Guident,GUID,Dominari Securities/Revere Securities,3.3,4.00,5.00,$ 15.0 mil,2/9/2026 Week of,S/O,S/O
Hillhouse Frontier Holdings,HIFI,Cathay Securities,3.8,4.00,6.00,$ 18.8 mil,2/9/2026 Week of,S/O,S/O
"HW Electro Co., Ltd. (NASDAQ-New Filing)",HWEP,American Trust Investment Services/WestPark Capital,4.2,4.00,4.00,$ 16.6 mil,2/9/2026 Week of,S/O,S/O
"Papa Medical, Inc. (2025 New Filing)",PAPA,Kingswood Capital Markets,1.5,4.00,4.00,$ 6.0 mil,2/9/2026 Week of,S/O,S/O
Rank One Computing Corp.,ROC,The Benchmark Company,3.0,5.00,6.00,$ 16.5 mil,2/9/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,2.3,4.00,6.00,$ 11.3 mil,2/9/2026 Week of,S/O,S/O
"Seahawk Recycling Holdings, Inc.",SEAH,Cathay Securities,3.8,4.00,6.00,$ 18.8 mil,2/9/2026 Week of,S/O,S/O
AGI,AGBK,Goldman Sachs/Morgan Stanley/Citigroup/Bradesco BBI/BTG Pactual/Itaú BBA/Santander/SOCIETE GENERALE/XP Investments,43.6,15.00,18.00,$ 720.0 mil,2/11/2026 Wednesday,S/O,S/O
PressLogic,PLAI,American Trust Investment Services,1.8,4.00,6.00,$ 9.0 mil,2/16/2026 Week of,S/O,S/O
