Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Bitcoin Infrastructure Acquisition Corp. Ltd.,BIXIU,Cohen & Company Capital Markets,20.0,10.00,10.00,$ 200.0 mil,12/2/2025 Priced,S/O,S/O
New America Acquisition I Corp.,NWAXU,Dominari Securities/D. Boral Capital (ex-EF Hutton),30.0,10.00,10.00,$ 300.0 mil,12/4/2025 Thursday,S/O,S/O
AIGO Holding Ltd.,AIGO,Eddid Securities USA,2.0,4.00,6.00,$ 10.0 mil,12/5/2025 Week of,S/O,S/O
ALE Group Holding  Limited,ALEH,D. Boral Capital (ex-EF Hutton),1.5,4.00,6.00,$ 7.5 mil,12/5/2025 Week of,S/O,S/O
DT House Ltd.,DTDT,American Trust Investment Services,2.0,4.00,5.00,$ 9.0 mil,12/5/2025 Week of,S/O,S/O
ELC Group Holdings Ltd.,ELCG,D. Boral Capital (ex-EF Hutton),1.9,4.00,6.00,$ 9.4 mil,12/5/2025 Week of,S/O,S/O
"Regentis Biomaterials, Ltd.",RGNT,ThinkEquity,1.0,10.00,12.00,$ 11.0 mil,12/5/2025 Friday,S/O,S/O
Anew Health Ltd.,AVG,D. Boral Capital (ex-EF Hutton),1.8,4.00,6.00,$ 9.0 mil,12/8/2025 Week of,S/O,S/O
"HW Electro Co., Ltd. (NASDAQ-New Filing)",HWEP,American Trust Investment Services/WestPark Capital,4.2,4.00,4.00,$ 16.6 mil,12/8/2025 Week of,S/O,S/O
Libera Gaming Operations,LBRJ,D. Boral Capital (ex-EF Hutton)/Sutter Securities,1.3,4.00,4.00,$ 5.0 mil,12/8/2025 Week of,S/O,S/O
Monkey Tree Investment Ltd.,MKTR,Craft Capital Management/Revere Securities,1.6,4.00,5.00,$ 7.0 mil,12/8/2025 Week of,S/O,S/O
Public Policy Holding Co. (NASDAQ Uplisting),PPHC,Oppenheimer & Co./Canaccord Genuity/Texas Capital Securities,4.1,14.64,14.64,$ 60.0 mil,12/8/2025 Week of,S/O,S/O
Cardinal Infrastructure,CDNL,Stifel/William Blair/ D.A. Davison,11.5,20.00,22.00,$ 241.5 mil,12/10/2025 Wednesday,S/O,S/O
Lumexa Imaging Holdings,LMRI,Barclays/J.P.Morgan/Jefferies/Deutsche Bank Securities/Wells Fargo Securities/Leerink Partners/William Blair/Capital One Securities/Fifth Third Securities/ Raymond James/PNC Capital Markets,25.0,17.00,20.00,$ 462.5 mil,12/11/2025 Thursday,S/O,S/O
PressLogic,PLAI,American Trust Investment Services,1.8,4.00,6.00,$ 9.0 mil,12/15/2025 Week of,S/O,S/O
Ultratrex,UTX,Craft Capital Management,1.3,4.00,6.00,$ 6.3 mil,12/15/2025 Week of,S/O,S/O
