Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Iris Acquisition Corp. II,IRABU,Cohen & Company Capital Markets,15.0,10.00,10.00,$ 150.0 mil,2/3/2026 Priced,S/O,S/O
"Veradermics, Inc.",MANE,Jefferies/Leerink Partners/Citigroup/Cantor,13.4,14.00,16.00,$ 200.3 mil,2/4/2026 Wednesday,S/O,S/O
"Bob’s Discount Furniture, Inc.",BOBS,J.P. Morgan/Morgan Stanley/RBC Capital Markets/UBS Investment Bank/BofA Securities/Evercore ISI/Goldman Sachs,19.5,17.00,19.00,$ 350.1 mil,2/5/2026 Thursday,S/O,S/O
Eikon Therapeutics,EIKN,J.P.Morgan/Morgan Stanley/BofA Securities/Cantor/Mizuho,17.7,16.00,18.00,$ 300.0 mil,2/5/2026 Thursday,S/O,S/O
"Forgent Power Solutions, Inc.",FPS,Goldman Sachs/Jefferies/Morgan Stanley/J.P. Morgan/BofA Securities/Barclays/TD Cowen/MUFG/Wolfe/Nomura Alliance/KeyBanc Capital Markets/Oppenheimer & Co.,56.0,25.00,29.00,$ 1512.0 mil,2/5/2026 Thursday,S/O,S/O
AgomAb Therapeutics,AGMB,J.P. Morgan/Morgan Stanley/Leerink Partners/Van Lanschot Kempen,12.5,15.00,17.00,$ 200.0 mil,2/6/2026 Friday,S/O,S/O
Liftoff Mobile,LFTO,Goldman Sachs/Jefferies/Morgan Stanley/Barclays/RBC Capital Markets/UBS Investment Bank/Wells Fargo Securities/William Blair/Cantor/Deutsche Bank Securities/PJT Partners/Wolfe | Nomura Alliance/BTIG/Needham & Company/Raymond James,25.4,26.00,30.00,$ 711.2 mil,2/6/2026 Friday,S/O,S/O
"Once Upon a Farm, PBC",OFRM,Goldman Sachs/J.P. Morgan/BofA Securities/William Blair/Barclays/Evercore ISI/Deutsche Bank Securities/Oppenheimer & Co./TD Cowen,11.0,17.00,19.00,$ 198.0 mil,2/6/2026 Friday,S/O,S/O
"SpyGlass Pharma, Inc.",SGP,Jefferies/Leerink Partners/Citigroup/Stifel,9.4,15.00,17.00,$ 150.0 mil,2/6/2026 Friday,S/O,S/O
AGI,AGBK,Goldman Sachs/Morgan Stanley/Citigroup/Bradesco BBI/BTG Pactual/Itaú BBA/Santander/SOCIETE GENERALE/XP Investments,43.6,15.00,18.00,$ 720.0 mil,2/11/2026 Wednesday,S/O,S/O
"SOLV Energy, Inc.",MWH,Jefferies/J.P. Morgan/KeyBanc Capital Markets/TD Cowen/UBS Investment Bank/Baird/Evercore ISI/Guggenheim Securities/Wolfe | Nomura Alliance/CIBC Capital Markets	/Roth Capital Partners,20.5,22.00,25.00,$ 481.8 mil,2/11/2026 Wednesday,S/O,S/O
ARKO Petroleum Corp.,APC,UBS Investment Bank/Raymond James/Stifel/Mizuho/Capital One Securities,10.5,18.00,20.00,$ 199.5 mil,2/12/2026 Thursday,S/O,S/O
AIGO Holding Ltd.,AIGO,Eddid Securities USA,2.0,4.00,6.00,$ 10.0 mil,2/16/2026 Week of,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,7.00,9.00,$ 21.0 mil,2/16/2026 Week of,S/O,S/O
DT House Ltd.,DTDT,American Trust Investment Services,5.0,5.00,5.50,$ 26.3 mil,2/16/2026 Week of,S/O,S/O
Guident,GUID,Dominari Securities/Revere Securities,3.3,4.00,5.00,$ 15.0 mil,2/16/2026 Week of,S/O,S/O
"Hartford Creative Group, Inc. (Uplisting)",HFUS,WestPark Capital,1.5,4.00,4.00,$ 6.0 mil,2/16/2026 Week of,S/O,S/O
Hillhouse Frontier Holdings,HIFI,Cathay Securities,3.8,4.00,6.00,$ 18.8 mil,2/16/2026 Week of,S/O,S/O
"HW Electro Co., Ltd. (NASDAQ-New Filing)",HWEP,American Trust Investment Services/WestPark Capital,4.2,4.00,4.00,$ 16.6 mil,2/16/2026 Week of,S/O,S/O
PressLogic,PLAI,American Trust Investment Services,1.8,4.00,6.00,$ 9.0 mil,2/16/2026 Week of,S/O,S/O
Rank One Computing Corp.,ROC,The Benchmark Company,3.0,5.00,6.00,$ 16.5 mil,2/16/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,2.3,4.00,6.00,$ 11.3 mil,2/16/2026 Week of,S/O,S/O
Amatuhi Holdings,AMTU,Spartan Capital,1.0,5.00,5.00,$ 5.0 mil,2/23/2026 Week of,S/O,S/O
"Papa Medical, Inc. (2025 New Filing)",PAPA,Kingswood Capital Markets,1.5,4.00,4.00,$ 6.0 mil,2/23/2026 Week of,S/O,S/O
"Seahawk Recycling Holdings, Inc.",SEAH,Cathay Securities,3.8,4.00,6.00,$ 18.8 mil,2/23/2026 Week of,S/O,S/O
