Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Agencia Comercial Spirits,AGCC,D. Boral Capital (ex-EF Hutton)/Revere Securities,1.8,4.00,4.00,$ 7.0 mil,10/22/2025 Priced,S/O,S/O
Calisa Acquisition Corp.,ALISU,EarlyBirdCapital,6.0,10.00,10.00,$ 60.0 mil,10/22/2025 Priced,S/O,S/O
Texxon Holding (New Filing),NPT,D. Boral Capital (ex-EF Hutton),1.9,5.00,5.00,$ 9.5 mil,10/22/2025 Priced,S/O,S/O
AIGO Holding Ltd.,AIGO,Eddid Securities USA,2.0,4.00,6.00,$ 10.0 mil,10/23/2025 Thursday,S/O,S/O
ELC Group Holdings Ltd.,ELCG,D. Boral Capital (ex-EF Hutton),1.9,4.00,6.00,$ 9.4 mil,10/23/2025 Thursday,S/O,S/O
Harvard Avenue Acquisition Corp.,HAVAU,D. Boral Capital (ex-EF Hutton),18.0,10.00,10.00,$ 180.0 mil,10/23/2025 Thursday,S/O,S/O
Miluna Acquisition,MMTXU,D. Boral Capital (ex-EF Hutton)/ ARC Group Securities,6.0,10.00,10.00,$ 60.0 mil,10/23/2025 Thursday,S/O,S/O
DT House Ltd.,DTDT,American Trust Investment Services,2.0,4.00,5.00,$ 9.0 mil,10/24/2025 Friday,S/O,S/O
Monkey Tree Investment Ltd.,MKTR,Revere Securities,1.6,4.00,5.00,$ 7.0 mil,10/24/2025 Week of,S/O,S/O
Anew Health Ltd.,AVG,D. Boral Capital (ex-EF Hutton),1.8,4.00,6.00,$ 9.0 mil,10/27/2025 Week of,S/O,S/O
Libera Gaming Operations,LBRJ,D. Boral Capital (ex-EF Hutton)/Craft Capital Management/ Boustead Securities,1.3,4.00,4.00,$ 5.0 mil,10/27/2025 Week of,S/O,S/O
"MapLight Therapeutics, Inc.",MPLT,Morgan Stanley/Jefferies/Leerink/Stifel,14.8,17.00,17.00,$ 250.8 mil,10/28/2025 Tuesday,S/O,S/O
"HW Electro Co., Ltd. (NASDAQ-New Filing)",HWEP,American Trust Investment Services/WestPark Capital,4.2,4.00,4.00,$ 16.6 mil,10/30/2025 Thursday,S/O,S/O
"Navan, Inc.",NAVN,Goldman Sachs/Citigroup/Jefferies/Mizuho/Morgan Stanley/BNP Paribas/Citizens Capital Markets/Oppenheimer & Co./MUFG/Needham & Co./BTIG,36.9,24.00,26.00,$ 923.0 mil,10/31/2025 Friday,S/O,S/O
BETA Technologies,BETA,"Morgan Stanley/Goldman Sachs/BofA Securities/Jefferies/TPG Capital BD, LLC/Citigroup/Cantor/BTIG/Needham & Co.",25.0,27.00,33.00,$ 750.0 mil,11/3/2025 Week of,S/O,S/O
"BillionToOne, Inc.",BLLN,J.P. Morgan/Piper Sandler/Jefferies/William Blair/Stifel/Wells Fargo Securities/BTIG,3.9,49.00,55.00,$ 200.0 mil,11/3/2025 Week of,S/O,S/O
Evommune,EVMN,Morgan Stanley/Leerink Partners/Evercore ISI/Cantor,9.4,15.00,17.00,$ 150.0 mil,11/3/2025 Week of,S/O,S/O
Grupo Aeromexico,AERO,Barclays/ Morgan Stanley/ J.P. Morgan/ Evercore ISI/ Apollo Global Securities,11.7,18.00,20.00,$ 222.8 mil,11/3/2025 Week of,S/O,S/O
Exzeo Group,XZO,Truist Securities/Citizens JMP/William Blair,8.0,20.00,22.00,$ 168.0 mil,11/5/2025 Week of,S/O,S/O
