Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Bluerock Acquisition,BLRKU,Cantor,15.0,10.00,10.00,$ 150.0 mil,12/11/2025 Priced,S/O,S/O
Karbon Capital Partners,KBONU,Citigroup,30.0,10.00,10.00,$ 300.0 mil,12/11/2025 Priced,S/O,S/O
Lumexa Imaging Holdings,LMRI,Barclays/J.P.Morgan/Jefferies/Deutsche Bank Securities/Wells Fargo Securities/Leerink Partners/William Blair/Capital One Securities/Fifth Third Securities/ Raymond James/PNC Capital Markets,25.0,18.50,18.50,$ 462.5 mil,12/11/2025 Priced,S/O,S/O
Buda Juice,BUDA,MDB Capital Group,2.7,7.50,9.00,$ 22.0 mil,12/12/2025 Friday,S/O,S/O
SFIDA X,SFDX,ThinkEquity,1.0,5.00,6.00,$ 5.5 mil,12/12/2025 Friday,S/O,S/O
Wealthfront Corp.,WLTH,Goldman Sachs/J.P. Morgan/Citigroup/Wells Fargo Securities/RBC Capital Markets,34.6,12.00,14.00,$ 450.0 mil,12/12/2025 Friday,S/O,S/O
Uptrend Holdings,UPX,Cathay Securities,1.5,4.00,5.00,$ 7.0 mil,12/16/2025 Tuesday,S/O,S/O
Andersen Group,ANDG,Morgan Stanley/UBS Investment Bank/Deutsche Bank Securities/Truist Securities/Wells Fargo Securities/Baird/William Blair,11.0,14.00,16.00,$ 165.0 mil,12/17/2025 Wednesday,S/O,S/O
Medline Inc.,MDLN,Goldman Sachs/Morgan Stanley/BofA Securities/J.P. Morgan/Barclays/Citigroup/Deutsche Bank Securities/Jefferies/UBS Investment Bank/Evercore ISI/BMO Capital Markets/BNP PARIBAS/MUFG/RBC Capital Markets/Santander/SOCIETE GENERALE/TD Cowen/Wells Fargo Securities/Wolfe | Nomura Alliance/Leerink Partners/Macquarie Capital/Mizuho/Piper Sandler/Truist Securities/William Blair,179.0,26.00,30.00,$ 5012.0 mil,12/17/2025 Wednesday,S/O,S/O
"HW Electro Co., Ltd. (NASDAQ-New Filing)",HWEP,American Trust Investment Services/WestPark Capital,4.2,4.00,4.00,$ 16.6 mil,12/18/2025 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,2.3,4.00,6.00,$ 11.3 mil,12/18/2025 Week of,S/O,S/O
Ultratrex,UTX,Craft Capital Management,1.3,4.00,6.00,$ 6.3 mil,12/18/2025 Week of,S/O,S/O
AIGO Holding Ltd.,AIGO,Eddid Securities USA,2.0,4.00,6.00,$ 10.0 mil,12/19/2025 Week of,S/O,S/O
ALE Group Holding  Limited,ALEH,D. Boral Capital (ex-EF Hutton),1.5,4.00,6.00,$ 7.5 mil,12/19/2025 Week of,S/O,S/O
DT House Ltd.,DTDT,American Trust Investment Services,2.0,4.00,5.00,$ 9.0 mil,12/19/2025 Week of,S/O,S/O
ELC Group Holdings Ltd.,ELCG,D. Boral Capital (ex-EF Hutton),1.9,4.00,6.00,$ 9.4 mil,12/22/2025 Week of,S/O,S/O
Monkey Tree Investment Ltd.,MKTR,Craft Capital Management/Revere Securities,1.6,4.00,5.00,$ 7.0 mil,12/22/2025 Week of,S/O,S/O
Hillhouse Frontier Holdings,HIFI,Cathay Securities,1.3,4.00,6.00,$ 6.3 mil,12/29/2025 Week of,S/O,S/O
"Seahawk Recycling Holdings, Inc.",SEAH,Cathay Securities,2.0,4.00,6.00,$ 10.0 mil,12/29/2025 Week of,S/O,S/O
PressLogic,PLAI,American Trust Investment Services,1.8,4.00,6.00,$ 9.0 mil,1/5/2026 Week of,S/O,S/O
