Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
BitGo Holdings,BTGO,"Goldman Sachs/Citigroup/Deutsche Bank Securities/Mizuho Securities/Wells Fargo Securities/Keefe, Bruyette &  Woods (A Stifel  Company)/Cantor",11.8,15.00,17.00,$ 189.2 mil,1/22/2026 Thursday,S/O,S/O
"EquipmentShare.com, Inc.",EQPT,Goldman Sachs/Wells Fargo Securities/UBS Investment Bank/Citigroup/Guggenheim Securities/Citizens JMP/Truist Securities/Baird/Oppenheimer & Co./KeyBanc Capital Markets,30.5,23.50,25.50,$ 747.3 mil,1/23/2026 Friday,S/O,S/O
AIGO Holding Ltd.,AIGO,Eddid Securities USA,2.0,4.00,6.00,$ 10.0 mil,1/26/2026 Week of,S/O,S/O
Amatuhi Holdings,AMTU,Spartan Capital,1.0,5.00,5.00,$ 5.0 mil,1/26/2026 Week of,S/O,S/O
"Hartford Creative Group, Inc. (Uplisting)",HFUS,WestPark Capital,1.5,4.00,4.00,$ 6.0 mil,1/26/2026 Week of,S/O,S/O
Hillhouse Frontier Holdings,HIFI,Cathay Securities,3.8,4.00,6.00,$ 18.8 mil,1/26/2026 Week of,S/O,S/O
"Papa Medical, Inc. (2025 New Filing)",PAPA,Kingswood Capital Markets,1.5,4.00,4.00,$ 6.0 mil,1/26/2026 Week of,S/O,S/O
Rank One Computing Corp.,ROC,The Benchmark Company,3.0,5.00,6.00,$ 16.5 mil,1/26/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,2.3,4.00,6.00,$ 11.3 mil,1/26/2026 Week of,S/O,S/O
"Seahawk Recycling Holdings, Inc.",SEAH,Cathay Securities,3.8,4.00,6.00,$ 18.8 mil,1/26/2026 Week of,S/O,S/O
York Space Systems (Yellowstone),YSS,Goldman Sachs/Jefferies/Wells Fargo Securities/J.P. Morgan/Citigroup/Truist/Baird/Raymond James,16.0,30.00,34.00,$ 512.0 mil,1/28/2026 Week of,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,7.00,9.00,$ 21.0 mil,2/2/2026 Week of,S/O,S/O
"HW Electro Co., Ltd. (NASDAQ-New Filing)",HWEP,American Trust Investment Services/WestPark Capital,4.2,4.00,4.00,$ 16.6 mil,2/2/2026 Week of,S/O,S/O
DT House Ltd.,DTDT,American Trust Investment Services,2.0,4.00,5.00,$ 9.0 mil,2/9/2026 Week of,S/O,S/O
PressLogic,PLAI,American Trust Investment Services,1.8,4.00,6.00,$ 9.0 mil,2/16/2026 Week of,S/O,S/O
