Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
American Exceptionalism Acquisition Corp. A (Stock Only),AEXA,Santander US Capital Markets,30.0,10.00,10.00,$ 300.0 mil,9/26/2025 Priced,S/O,S/O
Megan Holdings Ltd.,MGN,D. Boral Capital (ex-EF Hutton),1.3,4.00,4.00,$ 5.0 mil,9/26/2025 Priced,S/O,S/O
Commercial Bancgroup,CBK,Hovde Group,3.7,25.75,27.75,$ 100.0 mil,9/29/2025 Week of,S/O,S/O
GigCapital8 Acquisition Co.,GIWWU,D. Boral Capital (ex-EF Hutton),22.0,10.00,10.00,$ 220.0 mil,9/29/2025 Week of,S/O,S/O
Knorex Ltd.,KNRX,R.F. Lafferty & Co./Craft Capital Management,3.0,4.00,4.00,$ 12.0 mil,9/29/2025 Monday,S/O,S/O
OBOOK Holdings (Direct Listing),OWLS,D. Boral Capital (ex-EF Hutton) (Financial Adviser),0.0,0.00,0.00,$ 0.0 mil,9/29/2025 Week of,S/O,S/O
Bgin Blockchain Ltd.,BGIN,D. Boral Capital (ex-EF Hutton),6.3,7.00,9.00,$ 50.0 mil,10/1/2025 Week of,S/O,S/O
Fermi Inc.,FRMI,UBS Investment Bank/Evercore ISI/Cantor/Mizuho/Macquarie Capital/Rothschild & Co./Stifel/Truist Securities/Berenberg/Panmure,25.0,18.00,22.00,$ 500.0 mil,10/1/2025 Wednesday,S/O,S/O
"HW Electro Co., Ltd. (NASDAQ-New Filing)",HWEP,American Trust Investment Services/WestPark Capital,4.2,4.00,4.00,$ 16.6 mil,10/1/2025 Week of,S/O,S/O
Neptune Insurance Holdings,NP,"Morgan Stanley/J.P.Morgan/BofA Securities/BMO Capitall Markets/Goldman Sachs/Evercore ISI/Deutsche Bank Securities/ Keefe, Bruyette &  Woods (A Stifel Company) Mizuho/Piper Sandler/Raymond James/TD Securities",18.4,18.00,20.00,$ 350.0 mil,10/1/2025 Wednesday,S/O,S/O
BM Acquisition,BMAQU,D. Boral Capital (ex-EF Hutton),6.0,10.00,10.00,$ 60.0 mil,10/6/2025 Week of,S/O,S/O
Smart Logistics Global Ltd.,SLGB,Craft Capital Management/Revere Securities,1.0,5.00,6.00,$ 5.5 mil,10/6/2025 Week of,S/O,S/O
Thunderstone Acquisition Corp.,TBA,D. Boral Capital (ex-EF Hutton),5.0,10.00,10.00,$ 50.0 mil,10/6/2025 Week of,S/O,S/O
Agencia Comercial Spirits,AGCC,D. Boral Capital (ex-EF Hutton)/Revere Securities,1.8,4.00,6.00,$ 9.0 mil,10/13/2025 Week of,S/O,S/O
Antharas Inc.,AAS,D. Boral Capital (ex-EF Hutton),1.3,4.00,5.00,$ 5.6 mil,10/13/2025 Week of,S/O,S/O
Libera Gaming Operations,LBRJ,D. Boral Capital (ex-EF Hutton)/Craft Capital Management/ Boustead Securities,1.3,4.00,4.00,$ 5.0 mil,10/13/2025 Week of,S/O,S/O
