Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
AA Mission Acquisition Corp. II,YCY.U,Clear Street,10.0,10.00,10.00,$ 100.0 mil,10/1/2025 Priced,S/O,S/O
Agroz Inc.,AGRZ,US Tiger Brokers,1.3,4.00,4.00,$ 5.0 mil,10/1/2025 Priced,S/O,S/O
Fermi Inc.,FRMI,UBS Investment Bank/Evercore ISI/Cantor/Mizuho/Macquarie Capital/Rothschild & Co./Stifel/Truist Securities/Berenberg/Panmure,32.5,21.00,21.00,$ 682.5 mil,10/1/2025 Priced,S/O,S/O
Neptune Insurance Holdings,NP,"Morgan Stanley/J.P.Morgan/BofA Securities/BMO Capitall Markets/Goldman Sachs/Evercore ISI/Deutsche Bank Securities/ Keefe, Bruyette &  Woods (A Stifel Company) Mizuho/Piper Sandler/Raymond James/TD Securities",18.4,20.00,20.00,$ 368.4 mil,10/1/2025 Priced,S/O,S/O
Rice Acquisition Corp. 3,KRSP.U,Barclays/Jefferies,30.0,10.00,10.00,$ 300.0 mil,10/1/2025 Priced,S/O,S/O
Commercial Bancgroup,CBK,Hovde Group,7.2,24.00,24.00,$ 172.1 mil,10/2/2025 Priced,S/O,S/O
GigCapital8 Acquisition Co.,GIWWU,D. Boral Capital (ex-EF Hutton),22.0,10.00,10.00,$ 220.0 mil,10/3/2025 Friday,S/O,S/O
Harvard Avenue Acquisition Corp.,HAVAU,D. Boral Capital (ex-EF Hutton),18.0,10.00,10.00,$ 180.0 mil,10/3/2025 Week of,S/O,S/O
BM Acquisition,BMAQU,D. Boral Capital (ex-EF Hutton),6.0,10.00,10.00,$ 60.0 mil,10/6/2025 Week of,S/O,S/O
ELC Group Holdings Ltd.,ELCG,D. Boral Capital (ex-EF Hutton),1.8,4.00,6.00,$ 9.0 mil,10/6/2025 Week of,S/O,S/O
OBOOK Holdings (Direct Listing),OWLS,D. Boral Capital (ex-EF Hutton) (Financial Adviser),0.0,0.00,0.00,$ 0.0 mil,10/6/2025 Week of,S/O,S/O
Park Dental Partners,PARK,Northland Capital Markets/Craig-Hallum,1.5,12.00,14.00,$ 20.0 mil,10/6/2025 Week of,S/O,S/O
Smart Logistics Global Ltd.,SLGB,Craft Capital Management/Revere Securities,1.0,5.00,6.00,$ 5.5 mil,10/6/2025 Week of,S/O,S/O
Thunderstone Acquisition Corp.,TBA,D. Boral Capital (ex-EF Hutton),5.0,10.00,10.00,$ 50.0 mil,10/6/2025 Week of,S/O,S/O
Turn Therapeutics (Direct Listing),TTRX,Clear Street,17.9,0.00,0.00,$ 0.0 mil,10/8/2025 Week of,S/O,S/O
Alliance Laundry Holdings Inc.,ALH,BofA Securities/J.P.Morgan/Morgan Stanley/Baird/BDT & MSD/BMO Capital Markets/Citigroup/Goldman Sachs/UBS Investment Bank,34.2,19.00,22.00,$ 700.1 mil,10/9/2025 Thursday,S/O,S/O
Phoenix Education Partners,PXED,Morgan Stanley/Goldman Sachs/BMO Capital Markets/Jefferies/Apollo Global/Truist Securities,4.3,31.00,33.00,$ 136.0 mil,10/9/2025 Thursday,S/O,S/O
Agencia Comercial Spirits,AGCC,D. Boral Capital (ex-EF Hutton)/Revere Securities,1.8,4.00,6.00,$ 9.0 mil,10/13/2025 Week of,S/O,S/O
Antharas Inc.,AAS,D. Boral Capital (ex-EF Hutton),1.3,4.00,5.00,$ 5.6 mil,10/13/2025 Week of,S/O,S/O
Bgin Blockchain Ltd.,BGIN,D. Boral Capital (ex-EF Hutton),6.0,5.00,7.00,$ 36.0 mil,10/13/2025 Week of,S/O,S/O
"HW Electro Co., Ltd. (NASDAQ-New Filing)",HWEP,American Trust Investment Services/WestPark Capital,4.2,4.00,4.00,$ 16.6 mil,10/13/2025 Week of,S/O,S/O
Libera Gaming Operations,LBRJ,D. Boral Capital (ex-EF Hutton)/Craft Capital Management/ Boustead Securities,1.3,4.00,4.00,$ 5.0 mil,10/13/2025 Week of,S/O,S/O
