Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Cohen Circle Acquisition Corp. II,CCIIU,Clear Street,22.0,10.00,10.00,$ 220.0 mil,7/1/2025 Priced,S/O,S/O
Grande Group,GRAN,Cathay Securities,1.9,5.00,5.00,$ 9.4 mil,7/1/2025 Priced,S/O,S/O
Indigo Acquisition Corp.,INACU,EarlyBirdCapital,10.0,10.00,10.00,$ 100.0 mil,7/1/2025 Priced,S/O,S/O
NMP Acquisition Corp.,NMPAU,Maxim Group,10.0,10.00,10.00,$ 100.0 mil,7/1/2025 Priced,S/O,S/O
"CapsoVision, Inc.",CV,The Benchmark Company/Roth Capital Partners,5.3,5.00,5.50,$ 27.6 mil,7/2/2025 Wednesday,S/O,S/O
"Coastal Bancshares, Inc. (NYSE Uplisting)",COSO,Piper Sandler/Stephens,2.6,21.50,23.50,$ 59.0 mil,7/2/2025 Wednesday,S/O,S/O
Vendome Acquisition I,VNMEU,D. Boral Capital (ex-EF Hutton),20.0,10.00,10.00,$ 200.0 mil,7/2/2025 Wednesday,S/O,S/O
"Cre8 Enterprise, Ltd.",CRE,American Trust Investment Services/Prime Number Capital,1.5,4.00,5.00,$ 6.5 mil,7/7/2025 Week of,S/O,S/O
FG Holdings,FGO,American Trust Investment Services/Revere Securities,2.0,4.00,5.00,$ 9.0 mil,7/7/2025 Week of,S/O,S/O
Mega Fortune Co. Ltd.,MGRT,D. Boral Capital (ex-EF Hutton),3.8,4.00,5.00,$ 16.9 mil,7/7/2025 Week of,S/O,S/O
Ten-League International Holdings Ltd.,TLIH,Bancroft Capital LLC,2.2,4.00,5.00,$ 10.1 mil,7/8/2025 Tuesday,S/O,S/O
K-TECH SOLUTIONS CO LTD,KMRK,American Trust Investment Services,2.0,4.00,4.00,$ 8.0 mil,7/11/2025 Friday,S/O,S/O
Delixy Holdings Ltd.,DLXY,Bancroft Capital,2.0,4.00,5.00,$ 9.0 mil,7/14/2025 Week of,S/O,S/O
