Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
GigCapital9,GIXXU,D. Boral Capital (ex-EF Hutton),22.0,10.00,10.00,$ 220.0 mil,1/27/2026 Priced,S/O,S/O
Mountain Lake Acquisition Corp. II,MLAAU,"BTIG, LLC",31.3,10.00,10.00,$ 313.2 mil,1/27/2026 Priced,S/O,S/O
Public Policy Holding Co. (NASDAQ Uplisting),PPHC,Oppenheimer & Co./Canaccord Genuity/Texas Capital Securities,4.2,13.45,13.45,$ 55.8 mil,1/28/2026 Wednesday,S/O,S/O
Ethos Technologies Inc.,LIFE,Goldman Sachs/J.P.Morgan/BofA Securities/Citigroup/Deutsche Bank Securities/Citizens/William Blair/Baird,10.5,18.00,20.00,$ 200.0 mil,1/29/2026 Thursday,S/O,S/O
K2 Capital Acquisition Corp.,KTWOU,D. Boral Capital (ex-EF Hutton),10.0,10.00,10.00,$ 100.0 mil,1/29/2026 Thursday,S/O,S/O
Picpay Holdings Netherlands B.V.,PICS,Citigroup/BofA Securities/RBC Capital Markets/Mizuho/Wolfe Nomura Alliance,22.9,16.00,19.00,$ 400.1 mil,1/29/2026 Thursday,S/O,S/O
Xsolla SPAC 1,XSLLU,D. Boral Capital (ex-EF Hutton),25.0,10.00,10.00,$ 250.0 mil,1/29/2026 Thursday,S/O,S/O
York Space Systems (Yellowstone),YSS,Goldman Sachs/Jefferies/Wells Fargo Securities/J.P. Morgan/Citigroup/Truist/Baird/Raymond James,16.0,30.00,34.00,$ 512.0 mil,1/29/2026 Thursday,S/O,S/O
AIGO Holding Ltd.,AIGO,Eddid Securities USA,2.0,4.00,6.00,$ 10.0 mil,2/2/2026 Week of,S/O,S/O
"Hartford Creative Group, Inc. (Uplisting)",HFUS,WestPark Capital,1.5,4.00,4.00,$ 6.0 mil,2/2/2026 Week of,S/O,S/O
Hillhouse Frontier Holdings,HIFI,Cathay Securities,3.8,4.00,6.00,$ 18.8 mil,2/2/2026 Week of,S/O,S/O
"HW Electro Co., Ltd. (NASDAQ-New Filing)",HWEP,American Trust Investment Services/WestPark Capital,4.2,4.00,4.00,$ 16.6 mil,2/2/2026 Week of,S/O,S/O
Rank One Computing Corp.,ROC,The Benchmark Company,3.0,5.00,6.00,$ 16.5 mil,2/2/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,2.3,4.00,6.00,$ 11.3 mil,2/2/2026 Week of,S/O,S/O
"Seahawk Recycling Holdings, Inc.",SEAH,Cathay Securities,3.8,4.00,6.00,$ 18.8 mil,2/2/2026 Week of,S/O,S/O
White Pearl Acquisition,WPACU,D. Boral Capital (ex-EF Hutton),5.0,10.00,10.00,$ 50.0 mil,2/2/2026 Monday,S/O,S/O
"Bob’s Discount Furniture, Inc.",BOBS,J.P. Morgan/Morgan Stanley/RBC Capital Markets/UBS Investment Bank/BofA Securities/Evercore ISI/Goldman Sachs,19.5,17.00,19.00,$ 350.1 mil,2/5/2026 Thursday,S/O,S/O
"Forgent Power Solutions, Inc.",FPS,Goldman Sachs/Jefferies/Morgan Stanley/J.P. Morgan/BofA Securities/Barclays/TD Cowen/MUFG/Wolfe/Nomura Alliance/KeyBanc Capital Markets/Oppenheimer & Co.,56.0,25.00,29.00,$ 1512.0 mil,2/5/2026 Thursday,S/O,S/O
"Once Upon a Farm, PBC",OFRM,Goldman Sachs/J.P. Morgan/BofA Securities/William Blair/Barclays/Evercore ISI/Deutsche Bank Securities/Oppenheimer & Co./TD Cowen,11.0,17.00,19.00,$ 198.0 mil,2/6/2026 Friday,S/O,S/O
Amatuhi Holdings,AMTU,Spartan Capital,1.0,5.00,5.00,$ 5.0 mil,2/9/2026 Week of,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,7.00,9.00,$ 21.0 mil,2/9/2026 Week of,S/O,S/O
DT House Ltd.,DTDT,American Trust Investment Services,5.0,5.00,5.50,$ 26.3 mil,2/9/2026 Week of,S/O,S/O
"Papa Medical, Inc. (2025 New Filing)",PAPA,Kingswood Capital Markets,1.5,4.00,4.00,$ 6.0 mil,2/9/2026 Week of,S/O,S/O
PressLogic,PLAI,American Trust Investment Services,1.8,4.00,6.00,$ 9.0 mil,2/16/2026 Week of,S/O,S/O
