Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Bullish,BLSH,J.P.Morgan/Jefferies/Citigroup/Cantor/Deutsche Bank Securities/SOCIETE GENERALE,30.0,32.00,33.00,$ 975.0 mil,8/13/2025 Wednesday,S/O,S/O
"Miami International Holdings, Inc.",MIAX,"J.P.Morgan/Morgan Stanley/Piper Sandler/Keefe, Bruyette & Woods (A Stifel Company)/Raymond James/William Blair/Rosenblatt",15.0,19.00,21.00,$ 300.0 mil,8/14/2025 Thursday,S/O,S/O
Nasus Pharma Ltd.,NSRX,Laidlaw & Company (UK)/Craft Capital Management,1.3,8.00,10.00,$ 11.3 mil,8/14/2025 Week of,S/O,S/O
rYojbaba Co. Ltd.,RYOJ,D. Boral Capital (ex-EF Hutton),1.3,4.00,5.00,$ 5.6 mil,8/14/2025 Thursday,S/O,S/O
BUUU Group Limited,BUUU,Dominari Securities/Pacific Century Securities/Revere Securities,1.5,4.00,6.00,$ 7.5 mil,8/15/2025 Week of,S/O,S/O
Curanex Pharmaceuticals,CURX,Dominari Securities/ Revere Securities,2.0,4.00,6.00,$ 10.0 mil,8/15/2025 Week of,S/O,S/O
ELC Group Holdings Ltd.,ELCG,D. Boral Capital (ex-EF Hutton),1.7,4.00,6.00,$ 8.5 mil,8/15/2025 Week of,S/O,S/O
"Picard Medical, Inc.",PMI,WestPark Capital/Uphorizon/Sentinel Brokers Company,4.3,3.50,4.50,$ 17.0 mil,8/15/2025 Week of,S/O,S/O
Spectral IP (SIM IP),SMIP,Dominari Securities/Revere Securities,3.8,4.00,4.00,$ 15.0 mil,8/15/2025 Week of,S/O,S/O
"Hang Feng Technology Innovation Co., Ltd.",FOFO,Kingswood,1.4,4.00,4.00,$ 5.5 mil,8/18/2025 Week of,S/O,S/O
"Elite Express Holding, Inc.",ETS,Dominari Securities/Revere Securities,4.0,4.00,4.00,$ 16.0 mil,8/21/2025 Thursday,S/O,S/O
