Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Art Technology Acquisition Corp.,ARTCU,Clear Street,22.0,10.00,10.00,$ 220.0 mil,1/6/2026 Priced,S/O,S/O
Black Spade Acquisition III Co.,BIIIU,Cohen & Company Capital Markets/Chardan,15.0,10.00,10.00,$ 150.0 mil,1/6/2026 Priced,S/O,S/O
Aktis Oncology,AKTS,J.P.Morgan/BofA Securities/Leerink Partners/TD Cowen,11.8,16.00,18.00,$ 200.2 mil,1/9/2026 Friday,S/O,S/O
"Papa Medical, Inc. (2025 New Filing)",PAPA,Kingswood Capital Markets,1.5,4.00,4.00,$ 6.0 mil,1/9/2026 Week of,S/O,S/O
PressLogic,PLAI,American Trust Investment Services,1.8,4.00,6.00,$ 9.0 mil,1/9/2026 Week of,S/O,S/O
AIGO Holding Ltd.,AIGO,Eddid Securities USA,2.0,4.00,6.00,$ 10.0 mil,1/12/2026 Week of,S/O,S/O
DT House Ltd.,DTDT,American Trust Investment Services,2.0,4.00,5.00,$ 9.0 mil,1/12/2026 Week of,S/O,S/O
"Hartford Creative Group, Inc. (Uplisting)",HFUS,WestPark Capital,1.5,4.00,4.00,$ 6.0 mil,1/12/2026 Week of,S/O,S/O
Hillhouse Frontier Holdings,HIFI,Cathay Securities,1.3,4.00,6.00,$ 6.3 mil,1/12/2026 Week of,S/O,S/O
"HW Electro Co., Ltd. (NASDAQ-New Filing)",HWEP,American Trust Investment Services/WestPark Capital,4.2,4.00,4.00,$ 16.6 mil,1/12/2026 Week of,S/O,S/O
K2 Capital Acquisition Corp.,KIIU,D. Boral Capital (ex-EF Hutton),10.0,10.00,10.00,$ 100.0 mil,1/12/2026 Week of,S/O,S/O
Monkey Tree Investment Ltd.,MKTR,Craft Capital Management/Revere Securities,1.6,4.00,5.00,$ 7.0 mil,1/12/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,2.3,4.00,6.00,$ 11.3 mil,1/12/2026 Week of,S/O,S/O
"Seahawk Recycling Holdings, Inc.",SEAH,Cathay Securities,2.0,4.00,6.00,$ 10.0 mil,1/12/2026 Week of,S/O,S/O
Ultratrex,UTX,Craft Capital Management,1.3,4.00,6.00,$ 6.3 mil,1/12/2026 Week of,S/O,S/O
Amatuhi Holdings,AMTU,Spartan Capital,1.0,5.00,5.00,$ 5.0 mil,1/19/2026 Week of,S/O,S/O
