Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
"Miami International Holdings, Inc.",MIAX,"J.P.Morgan/Morgan Stanley/Piper Sandler/Keefe, Bruyette & Woods (A Stifel Company)/Raymond James/William Blair/Rosenblatt",15.0,23.00,23.00,$ 345.0 mil,8/14/2025 Priced,S/O,S/O
NusaTrip Inc.,NUTR,Cathay Securities,3.8,4.00,5.00,$ 16.9 mil,8/15/2025 Friday,S/O,S/O
Propanc Biopharma (NASDAQ  Uplisting),PPCB,D. Boral Capital (ex-EF Hutton)/Craft Capital,1.0,4.00,4.00,$ 4.0 mil,8/15/2025 Priced,S/O,S/O
Curanex Pharmaceuticals,CURX,Dominari Securities/ Revere Securities,2.0,4.00,6.00,$ 10.0 mil,8/18/2025 Week of,S/O,S/O
ELC Group Holdings Ltd.,ELCG,D. Boral Capital (ex-EF Hutton),1.7,4.00,6.00,$ 8.5 mil,8/18/2025 Week of,S/O,S/O
"Hang Feng Technology Innovation Co., Ltd.",FOFO,Kingswood,1.4,4.00,4.00,$ 5.5 mil,8/18/2025 Week of,S/O,S/O
"Elite Express Holding, Inc.",ETS,Dominari Securities/Revere Securities,4.0,4.00,4.00,$ 16.0 mil,8/21/2025 Thursday,S/O,S/O
"Picard Medical, Inc.",PMI,WestPark Capital/Uphorizon/Sentinel Brokers Company,4.3,3.50,4.50,$ 17.0 mil,8/22/2025 Week of,S/O,S/O
Phaos Technology (Cayman) Holdings Ltd.,POAS,Network 1 Financial Securities,2.7,4.00,5.00,$ 12.2 mil,8/25/2025 Week of,S/O,S/O
PomDoctor,POM,Joseph Stone Capital/Uphorizon,5.0,4.00,6.00,$ 25.0 mil,8/25/2025 Week of,S/O,S/O
