Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Brookline Capital Acquisition Corp. II,BCACU,"Brookline Capital Markets (A Division of Arcadia Securities, LLC)",10.0,10.00,10.00,$ 100.0 mil,2/16/2026 Week of,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,7.00,9.00,$ 21.0 mil,2/16/2026 Week of,S/O,S/O
Guident,GUID,Dominari Securities/Revere Securities,3.3,4.00,5.00,$ 15.0 mil,2/16/2026 Week of,S/O,S/O
"Hartford Creative Group, Inc. (Uplisting)",HFUS,WestPark Capital,1.5,4.00,4.00,$ 6.0 mil,2/16/2026 Week of,S/O,S/O
Hillhouse Frontier Holdings,HIFI,Cathay Securities,3.8,4.00,6.00,$ 18.8 mil,2/16/2026 Week of,S/O,S/O
Rank One Computing Corp.,ROC,The Benchmark Company,3.0,5.00,6.00,$ 16.5 mil,2/16/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,2.3,4.00,6.00,$ 11.3 mil,2/16/2026 Week of,S/O,S/O
Sky Acquisition Group,SKAIU,Maxim Group,15.0,10.00,10.00,$ 150.0 mil,2/18/2026 Wednesday,S/O,S/O
Bimergen Energy (Uplisting),BESS,ThinkEquity,1.3,9.50,9.50,$ 12.0 mil,2/20/2026 Friday,S/O,S/O
AIGO Holding Ltd.,AIGO,Eddid Securities USA,2.0,4.00,6.00,$ 10.0 mil,2/23/2026 Week of,S/O,S/O
"Seahawk Recycling Holdings, Inc.",SEAH,Cathay Securities,3.8,4.00,6.00,$ 18.8 mil,2/23/2026 Week of,S/O,S/O
DT House Ltd.,DTDT,American Trust Investment Services,5.0,5.00,5.50,$ 26.3 mil,3/9/2026 Week of,S/O,S/O
"HW Electro Co., Ltd. (NASDAQ-New Filing)",HWEP,American Trust Investment Services/WestPark Capital,4.2,4.00,4.00,$ 16.6 mil,3/16/2026 Week of,S/O,S/O
PressLogic,PLAI,American Trust Investment Services,1.8,4.00,6.00,$ 9.0 mil,3/23/2026 Week of,S/O,S/O
