Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Galata Acquisition Corp. II,LATAU,BTIG,15.0,10.00,10.00,$ 150.0 mil,9/19/2025 Priced,S/O,S/O
Pattern Group Inc.,PTRN,Goldman Sachs/J.P.Morgan/Evercore ISI/Jefferies/Baird/BMO Capital Markets/KeyBanc Capital Markets/Needham & Co./ Stifel/William Blair,21.4,13.00,15.00,$ 300.0 mil,9/19/2025 Priced,S/O,S/O
Platinum Analytics Cayman Ltd.,PLTS,Kingswood Capital Markets,2.0,4.00,4.00,$ 8.0 mil,9/19/2025 Priced,S/O,S/O
ELC Group Holdings Ltd.,ELCG,D. Boral Capital (ex-EF Hutton),1.8,4.00,6.00,$ 9.0 mil,9/22/2025 Week of,S/O,S/O
DT House Ltd.,DTDT,American Trust Investment Services,2.0,4.00,5.00,$ 9.0 mil,9/23/2025 Tuesday,S/O,S/O
Megan Holdings Ltd.,MGN,D. Boral Capital (ex-EF Hutton),2.5,4.00,6.00,$ 12.5 mil,9/23/2025 Tuesday,S/O,S/O
Rise Smart Group Holdings Ltd.,RSHL,American Trust Investment Services/Prime Number Capital,1.8,4.00,4.00,$ 7.2 mil,9/23/2025 Tuesday,S/O,S/O
"HW Electro Co., Ltd. (NASDAQ-New Filing)",HWEP,American Trust Investment Services/WestPark Capital,4.2,4.00,4.00,$ 16.6 mil,9/24/2025 Wednesday,S/O,S/O
Agencia Comercial Spirits,AGCC,Revere Securities,1.8,4.00,6.00,$ 9.0 mil,9/25/2025 Week of,S/O,S/O
"Regentis Biomaterials, Ltd.",RGNT,ThinkEquity,1.0,10.00,12.00,$ 11.0 mil,9/25/2025 Week of,S/O,S/O
Texxon Holding,NPT,D. Boral Capital (ex-EF Hutton),2.0,4.00,5.00,$ 9.0 mil,9/25/2025 Week of,S/O,S/O
Antharas Inc.,AAS,D. Boral Capital (ex-EF Hutton),1.3,4.00,5.00,$ 5.6 mil,9/29/2025 Week of,S/O,S/O
Bgin Blockchain Ltd.,BGIN,D. Boral Capital (ex-EF Hutton),6.3,7.00,9.00,$ 50.0 mil,9/29/2025 Week of,S/O,S/O
