Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Klarna Group plc,KLAR,Goldman Sachs & Co/J.P. Morgan/Morgan Stanley/BofA Securities/Citigroup/Deutsche Bank Securities/ Societe Generale/UBS Investment Bank,34.3,40.00,40.00,$ 1372.4 mil,9/10/2025 Priced,S/O,S/O
Rise Smart Group Holdings Ltd.,RSHL,American Trust Investment Services/Prime Number Capital,1.8,4.00,4.00,$ 7.2 mil,9/10/2025 Wednesday,S/O,S/O
Trailblazer Acquisition Corp.,BLZRU,Cantor,24.0,10.00,10.00,$ 240.0 mil,9/10/2025 Priced,S/O,S/O
Figure Technology Solutions (FT Intermediate),FIGR,"Goldman Sachs/Jefferies/BofA Securities/Societe Generale/Keefe, Bruyette & Woods (A Stifel Company)/Mizuho",31.5,20.00,22.00,$ 661.5 mil,9/11/2025 Thursday,S/O,S/O
LB Pharmaceuticals,LBRX,Leerink Partners/Piper Sandler/Stifel,16.7,14.00,16.00,$ 250.1 mil,9/11/2025 Thursday,S/O,S/O
"Regentis Biomaterials, Ltd.",RGNT,ThinkEquity,1.0,10.00,12.00,$ 11.0 mil,9/11/2025 Thursday,S/O,S/O
"Black Rock Coffee Bar, Inc.",BRCB,JPMorgan/Jefferies/Morgan Stanley/Baird/Stifel/William Blair/Raymond James,14.7,16.00,18.00,$ 250.1 mil,9/12/2025 Friday,S/O,S/O
"Gemini Space Station, Inc.",GEMI,"Goldman Sachs/Citigroup/Morgan Stanley/Cantor/Evercore ISI/Mizuho/Truist Securities/Cohen & Company Capital Markets/Keefe, Bruyette & Woods (A Stifel Company)/Needham & Co./Rosenblatt",16.7,24.00,26.00,$ 416.8 mil,9/12/2025 Friday,S/O,S/O
Legence Corp.,LGN,Goldman Sachs/Jefferies/BofA Securities/Barclays/Morgan Stanley/RBC Capital Markets/Societe Generale/BMO Capital Markets/Cantor Fitzgerald/Guggenheim Securities/WR Securities/Nomura Securities/ MUFG Securities America/Roth Capital/Santander/Stifel/TD Cowen/BTIG Securities/Rothschild,26.0,25.00,29.00,$ 702.0 mil,9/12/2025 Friday,S/O,S/O
"Via Transportation, Inc.",VIA,Goldman Sachs/Morgan Stanley/Allen & Company/Wells Fargo Securities/Deutsche Bank Securities/Guggenheim Securities,10.7,40.00,44.00,$ 449.8 mil,9/12/2025 Friday,S/O,S/O
Agencia Comercial Spirits,AGCC,Revere Securities,1.8,4.00,6.00,$ 9.0 mil,9/15/2025 Week of,S/O,S/O
PomDoctor,POM,Joseph Stone Capital/Uphorizon,5.0,4.00,6.00,$ 25.0 mil,9/15/2025 Week of,S/O,S/O
Texxon Holding,NPT,D. Boral Capital (ex-EF Hutton),2.0,4.00,5.00,$ 9.0 mil,9/15/2025 Week of,S/O,S/O
DT House Ltd.,DTDT,American Trust Investment Services/Revere Securities,2.0,4.00,5.00,$ 9.0 mil,9/17/2025 Wednesday,S/O,S/O
StubHub Holdings,STUB,J.P.Morgan/Goldman Sachs/BofA Securities/Evercore ISI/BMO Capital Markets/Mizuho/TD Cowen/Truist Securities/Wolfe Nomura Alliance,34.0,22.00,25.00,$ 799.9 mil,9/17/2025 Wednesday,S/O,S/O
WaterBridge Infrastructure LLC,WBI,J.P.Morgan/Barclays/Goldman Sachs/Morgan Stanley/Wells Fargo Securities/Piper Sandler/Raymond James/Stifel,27.0,17.00,20.00,$ 499.5 mil,9/17/2025 Wednesday,S/O,S/O
"Netskope, Inc.",NTSK,Morgan Stanley/J.P.Morgan/BMO Capital Markets/TD Cowen/Citizens Capital/Mizuho/Wells Fargo Securities/Deutsche Bank Securities,47.8,15.00,17.00,$ 764.8 mil,9/18/2025 Thursday,S/O,S/O
Megan Holdings Ltd.,MGN,D. Boral Capital (ex-EF Hutton),2.5,4.00,6.00,$ 12.5 mil,9/19/2025 Friday,S/O,S/O
ELC Group Holdings Ltd.,ELCG,D. Boral Capital (ex-EF Hutton),1.8,4.00,6.00,$ 9.0 mil,9/22/2025 Week of,S/O,S/O
"HW Electro Co., Ltd. (NASDAQ-New Filing)",HWEP,American Trust Investment Services/WestPark Capital,4.2,4.00,4.00,$ 16.6 mil,9/24/2025 Wednesday,S/O,S/O
