Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Aktis Oncology,AKTS,J.P.Morgan/BofA Securities/Leerink Partners/TD Cowen,17.7,18.00,18.00,$ 317.7 mil,1/9/2026 Priced,S/O,S/O
Atlas Critical Minerals (Uplisting),ATCX,A.G.P. (Alliance Global Partners)/Banco Bradesco BBI,1.2,8.00,8.00,$ 9.6 mil,1/9/2026 Priced,S/O,S/O
Lafayette Digital Acquisition Corp. I,ZKPU,BTIG,25.0,10.00,10.00,$ 250.0 mil,1/9/2026 Priced,S/O,S/O
"Papa Medical, Inc. (2025 New Filing)",PAPA,Kingswood Capital Markets,1.5,4.00,4.00,$ 6.0 mil,1/12/2026 Week of,S/O,S/O
"Seahawk Recycling Holdings, Inc.",SEAH,Cathay Securities,3.8,4.00,6.00,$ 18.8 mil,1/12/2026 Week of,S/O,S/O
Green Circle Decarbonize Technology Limited,GCDT,RBW Capital Partners (A Division of Dawson James)/Spartan Capital Securities,2.5,4.00,4.00,$ 10.0 mil,1/13/2026 Tuesday,S/O,S/O
AIGO Holding Ltd.,AIGO,Eddid Securities USA,2.0,4.00,6.00,$ 10.0 mil,1/19/2026 Week of,S/O,S/O
Amatuhi Holdings,AMTU,Spartan Capital,1.0,5.00,5.00,$ 5.0 mil,1/19/2026 Week of,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities and Futures,2.6,7.00,9.00,$ 21.0 mil,1/19/2026 Week of,S/O,S/O
"Hartford Creative Group, Inc. (Uplisting)",HFUS,WestPark Capital,1.5,4.00,4.00,$ 6.0 mil,1/19/2026 Week of,S/O,S/O
Hillhouse Frontier Holdings,HIFI,Cathay Securities,1.3,4.00,6.00,$ 6.3 mil,1/19/2026 Week of,S/O,S/O
"HW Electro Co., Ltd. (NASDAQ-New Filing)",HWEP,American Trust Investment Services/WestPark Capital,4.2,4.00,4.00,$ 16.6 mil,1/19/2026 Week of,S/O,S/O
PressLogic,PLAI,American Trust Investment Services,1.8,4.00,6.00,$ 9.0 mil,1/19/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,2.3,4.00,6.00,$ 11.3 mil,1/26/2026 Week of,S/O,S/O
