Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Almonty Industries Inc. (NASDAQ Uplisting),ALM,Oppenheimer & Co./Cantor/D.A. Davidson & Co.,0.0,0.00,0.00,$ 75.0 mil,7/11/2025 Friday,S/O,S/O
Bluemount Holdings Limited,BMHL,Dominari Securities/Pacific Century Securities/Revere Securities,1.4,4.00,4.00,$ 5.5 mil,7/11/2025 Priced,S/O,S/O
"Robot Consulting Co., Ltd.",LAWR,D. Boral Capital (ex-EF Hutton)/Craft Capital Management,3.8,4.00,6.00,$ 18.8 mil,7/11/2025 Friday,S/O,S/O
"HW Electro Co., Ltd. (NASDAQ-New Filing)",HWEP,American Trust Investment Services/WestPark Capital,4.2,4.00,4.00,$ 16.6 mil,7/14/2025 Week of,S/O,S/O
Mega Fortune Co. Ltd.,MGRT,D. Boral Capital (ex-EF Hutton),3.8,4.00,5.00,$ 16.9 mil,7/14/2025 Week of,S/O,S/O
K-TECH SOLUTIONS CO LTD,KMRK,American Trust Investment Services,2.0,4.00,4.00,$ 8.0 mil,7/15/2025 Tuesday,S/O,S/O
Aura Minerals (NASDAQ Uplisting),AUGO,BofA Securities/Goldman Sachs/BTG Pactual/Itau BBA,8.1,25.92,25.92,$ 210.0 mil,7/16/2025 Wednesday,S/O,S/O
Majestic Ideal Holdings (Refiled),MJID,Craft Capital/WestPark Capital,2.5,6.00,7.00,$ 16.3 mil,7/16/2025 Wednesday,S/O,S/O
"Cre8 Enterprise, Ltd.",CRE,American Trust Investment Services/Prime Number Capital,1.5,4.00,5.00,$ 6.5 mil,7/23/2025 Wednesday,S/O,S/O
General Enterprise Ventures (Uplisting – NYSE-AmEx),MFB,Univest Securities,1.3,11.00,13.00,$ 15.0 mil,7/25/2025 Friday,S/O,S/O
BUUU Group Limited,BUUU,Dominari Securities/Pacific Century Securities/Revere Securities,1.5,4.00,6.00,$ 7.5 mil,7/28/2025 Week of,S/O,S/O
CTW Cayman,CTW,Kingswood/TFI Securities & Futures Limited,3.0,5.00,6.00,$ 16.5 mil,7/28/2025 Week of,S/O,S/O
