Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
CTW Cayman,CTW,Kingswood/TFI Securities & Futures Limited,3.0,5.00,6.00,$ 16.5 mil,8/5/2025 Tuesday,S/O,S/O
Firefly Aerospace Inc.,FLY,Goldman Sachs/J.P.Morgan/Jefferies/Wells Fargo Securities/Morgan Stanley/Deutsche Bank Securities/Cantor,16.2,41.00,43.00,$ 680.4 mil,8/7/2025 Thursday,S/O,S/O
Quantumsphere Acquisition,QUMSU,SPAC Advisory Partners (A Division of Kingswood Capital Partners),6.0,10.00,10.00,$ 60.0 mil,8/7/2025 Thursday,S/O,S/O
"WhiteFiber, Inc.",WYFI,B. Riley Securities/Needham & Co./Macquarie Capital; Roth Capital Partners; Craig-Hallum and Clear Street,7.8,15.00,17.00,$ 125.0 mil,8/7/2025 Thursday,S/O,S/O
Avidbank Holdings (Uplisting – NASDAQ),AVBH,Piper Sandler/Stephens,2.6,22.00,24.00,$ 60.0 mil,8/8/2025 Friday,S/O,S/O
"Heartflow, Inc.",HTFL,J.P. Morgan/Morgan Stanley/Piper Sandler/Stifel/Canaccord Genuity,12.5,15.00,17.00,$ 200.0 mil,8/8/2025 Friday,S/O,S/O
BUUU Group Limited,BUUU,Dominari Securities/Pacific Century Securities/Revere Securities,1.5,4.00,6.00,$ 7.5 mil,8/11/2025 Week of,S/O,S/O
ELC Group Holdings Ltd.,ELCG,D. Boral Capital (ex-EF Hutton),1.3,4.00,6.00,$ 6.3 mil,8/11/2025 Week of,S/O,S/O
"Picard Medical, Inc.",PMI,WestPark Capital/Uphorizon/Sentinel Brokers Company,4.3,3.50,4.50,$ 17.0 mil,8/11/2025 Week of,S/O,S/O
Bullish,BLSH,J.P.Morgan/Jefferies/Citigroup/Cantor/Deutsche Bank Securities/SOCIETE GENERALE,20.3,28.00,31.00,$ 598.9 mil,8/13/2025 TBA,S/O,S/O
"Miami International Holdings, Inc.",MIAX,"J.P.Morgan/Morgan Stanley/Piper Sandler/Keefe, Bruyette & Woods (A Stifel Company)/Raymond James/William Blair/Rosenblatt",15.0,19.00,21.00,$ 300.0 mil,8/14/2025 Thursday,S/O,S/O
"Hang Feng Technology Innovation Co., Ltd.",FOFO,Kingswood,1.4,4.00,4.00,$ 5.5 mil,8/18/2025 Week of,S/O,S/O
Nasus Pharma Ltd.,NSRX,Laidlaw & Company (UK)/Craft Capital Management,1.3,8.00,10.00,$ 11.3 mil,8/18/2025 Week of,S/O,S/O
"Elite Express Holding, Inc.",ETS,Dominari Securities/Revere Securities,4.0,4.00,4.00,$ 16.0 mil,8/21/2025 Thursday,S/O,S/O
