Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
FG Holdings,FGO,Cathay Securities,2.0,4.00,5.00,$ 9.0 mil,9/4/2025 Thursday,S/O,S/O
GSR Acquisition IV Corp.,GSRFU,SPAC Advisory Partners,20.0,10.00,10.00,$ 200.0 mil,9/4/2025 Thursday,S/O,S/O
Texxon Holding,NPT,D. Boral Capital (ex-EF Hutton),2.0,4.00,5.00,$ 9.0 mil,9/8/2025 Week of,S/O,S/O
Klarna Group plc,KLAR,Goldman Sachs & Co/J.P. Morgan/Morgan Stanley/BofA Securities/Citigroup/Deutsche Bank Securities/ Societe Generale/UBS Investment Bank,34.3,35.00,37.00,$ 1235.2 mil,9/10/2025 Wednesday,S/O,S/O
Figure Technology Solutions (FT Intermediate),FIGR,"Goldman Sachs/Jefferies/BofA Securities/Societe Generale/Keefe, Bruyette & Woods (A Stifel Company)/Mizuho",26.3,18.00,20.00,$ 500.0 mil,9/11/2025 Thursday,S/O,S/O
"Black Rock Coffee Bar, Inc.",BRCB,JPMorgan/Jefferies/Morgan Stanley/Baird/Stifel/William Blair/Raymond James,14.7,16.00,18.00,$ 250.1 mil,9/12/2025 Friday,S/O,S/O
"Gemini Space Station, Inc.",GEMI,"Goldman Sachs/Citigroup/Morgan Stanley/Cantor/Evercore ISI/Mizuho/Truist Securities/Cohen & Company Capital Markets/Keefe, Bruyette & Woods (A Stifel Company)/Needham & Co./Rosenblatt",16.7,17.00,19.00,$ 300.0 mil,9/12/2025 Friday,S/O,S/O
Legence Corp.,LGN,Goldman Sachs/Jefferies/BofA Securities/Barclays/Morgan Stanley/RBC Capital Markets/Societe Generale/BMO Capital Markets/Cantor Fitzgerald/Guggenheim Securities/WR Securities/Nomura Securities/ MUFG Securities America/Roth Capital/Santander/Stifel/TD Cowen/BTIG Securities/Rothschild,26.0,25.00,29.00,$ 702.0 mil,9/12/2025 Friday,S/O,S/O
"Via Transportation, Inc.",VIA,Goldman Sachs/Morgan Stanley/Allen & Company/Wells Fargo Securities/Deutsche Bank Securities/Guggenheim Securities,10.7,40.00,44.00,$ 449.8 mil,9/12/2025 Friday,S/O,S/O
PomDoctor,POM,Joseph Stone Capital/Uphorizon,5.0,4.00,6.00,$ 25.0 mil,9/15/2025 Week of,S/O,S/O
