Company,Symbol proposed,Lead Managers,Shares (Millions),Price Low,Price High,Est. $ Volume,Expected to Trade,SCOOP Rating,Rating Change
Jaguar Uranium Corp.,JAGU,Titan Partners Group,6.3,4.00,4.00,$ 25.0 mil,2/10/2026 Priced,S/O,S/O
Spring Valley Acquisition Corp. IV,SVIVU,Cohen & Company Capital Markets/Clear Street,20.0,10.00,10.00,$ 200.0 mil,2/10/2026 Priced,S/O,S/O
AGI,AGBK,Goldman Sachs/Morgan Stanley/Citigroup/Bradesco BBI/BTG Pactual/Itaú BBA/Santander/SOCIETE GENERALE/XP Investments,43.6,15.00,18.00,$ 720.0 mil,2/11/2026 Wednesday,S/O,S/O
D. Boral Acquisition I Corp.,DBCAU,D. Boral Capital (ex-EF Hutton),25.0,10.00,10.00,$ 250.0 mil,2/11/2026 Wednesday,S/O,S/O
"SOLV Energy, Inc.",MWH,Jefferies/J.P. Morgan/KeyBanc Capital Markets/TD Cowen/UBS Investment Bank/Baird/Evercore ISI/Guggenheim Securities/Wolfe | Nomura Alliance/CIBC Capital Markets	/Roth Capital Partners,20.5,22.00,25.00,$ 481.8 mil,2/11/2026 Wednesday,S/O,S/O
ARKO Petroleum Corp.,APC,UBS Investment Bank/Raymond James/Stifel/Mizuho/Capital One Securities,10.5,18.00,20.00,$ 199.5 mil,2/12/2026 Thursday,S/O,S/O
XFLH Capital Corp.,XFLHU,Maxim Group,10.0,10.00,10.00,$ 100.0 mil,2/12/2026 Thursday,S/O,S/O
Clear Street Group Inc.,CLRS,Goldman Sachs/BofA Securities/Morgan Stanley/UBS Investment Bank/Clear Street/BMO Capital Markets/Barclays/RBC Capital Markets/TD Securities/Piper Sandler/CIBC Capital Markets/Regions Securities LLC/BTIG/M&T Securities,23.8,40.00,44.00,$ 1000.0 mil,2/13/2026 Friday,S/O,S/O
AIGO Holding Ltd.,AIGO,Eddid Securities USA,2.0,4.00,6.00,$ 10.0 mil,2/16/2026 Week of,S/O,S/O
BW Industrial Holdings,BWGC,Eddid Securities USA,2.6,7.00,9.00,$ 21.0 mil,2/16/2026 Week of,S/O,S/O
Guident,GUID,Dominari Securities/Revere Securities,3.3,4.00,5.00,$ 15.0 mil,2/16/2026 Week of,S/O,S/O
"Hartford Creative Group, Inc. (Uplisting)",HFUS,WestPark Capital,1.5,4.00,4.00,$ 6.0 mil,2/16/2026 Week of,S/O,S/O
Hillhouse Frontier Holdings,HIFI,Cathay Securities,3.8,4.00,6.00,$ 18.8 mil,2/16/2026 Week of,S/O,S/O
Rank One Computing Corp.,ROC,The Benchmark Company,3.0,5.00,6.00,$ 16.5 mil,2/16/2026 Week of,S/O,S/O
Riku Dining Group,RIKU,Eddid Securities USA,2.3,4.00,6.00,$ 11.3 mil,2/16/2026 Week of,S/O,S/O
"Papa Medical, Inc. (2025 New Filing)",PAPA,Kingswood Capital Markets,1.5,4.00,4.00,$ 6.0 mil,2/23/2026 Week of,S/O,S/O
"Seahawk Recycling Holdings, Inc.",SEAH,Cathay Securities,3.8,4.00,6.00,$ 18.8 mil,2/23/2026 Week of,S/O,S/O
DT House Ltd.,DTDT,American Trust Investment Services,5.0,5.00,5.50,$ 26.3 mil,3/9/2026 Week of,S/O,S/O
"HW Electro Co., Ltd. (NASDAQ-New Filing)",HWEP,American Trust Investment Services/WestPark Capital,4.2,4.00,4.00,$ 16.6 mil,3/16/2026 Week of,S/O,S/O
PressLogic,PLAI,American Trust Investment Services,1.8,4.00,6.00,$ 9.0 mil,3/23/2026 Week of,S/O,S/O
